agent_name,mean_return_is,std_return_is,mean_sharpe_is,mean_mdd_is,mean_equity_is,mean_return_oos,std_return_oos,mean_sharpe_oos,mean_mdd_oos,mean_equity_oos,mean_n_trades,seed_std_return_is,seed_std_sharpe_oos
RandomAgent,14.350515882005002,13.974790958784377,2.3979925432347247,-0.6897101750293244,153505.15882005,-0.29023058056267004,0.34290191652608615,-0.33987825747595324,-0.6939604251887458,7097.694194373299,755.0,13.974790958784377,0.7237020132393883
BuyAndHoldAgent,257.249486093083,0.0,3.966800142902609,-0.833990088221897,2582494.8609308302,0.14108476921655838,0.0,0.6203325945943428,-0.7663456370856908,11410.847692165584,1.0,0.0,0.0
A,967.0771017663292,484.9094118880416,5.253420311792513,-0.5894903127727948,9680771.01766329,-0.012754248531709178,0.5435613213001929,0.13932537749923152,-0.6727289755832757,9872.457514682908,162.6,484.9094118880416,0.6015808875504044
B,208.4325842316072,165.67374134707322,4.755867587207977,-0.5088972269838506,2094325.842316072,0.08086739029343323,0.22483698010978503,0.30761987454656675,-0.4719599285009468,10808.673902934333,163.2,165.67374134707322,0.5320206349993518
C,1607.939240304302,1173.5813801886868,5.363824979581972,-0.5546254790798966,16089392.40304302,0.5950628876734483,0.40904764587458226,0.9891786697862528,-0.5763987528486723,15950.628876734481,256.6,1173.5813801886868,0.35779187202328433
D,1144.1441945496983,1733.7262750068285,5.059478301277035,-0.5443396341747528,11451441.945496982,-0.15259333476716513,0.27744862855826047,-0.013413368506253475,-0.6135398429552992,8474.066652328349,478.4,1733.7262750068285,0.5674235669900274
