agent_name,seed,split,total_reward,total_return,final_equity,realized_profit,n_trades,steps,sharpe,max_drawdown
RandomAgent,0,is,3.7275452606940207,40.576922290173634,415769.2229017363,405769.2229017363,780.0,2269.0,3.578079104499727,-0.4553108602610756
RandomAgent,0,oos,-1.1806479042124154,-0.6921315123251569,3078.684876748431,-6926.128970049038,331.0,956.0,-1.3901365947788369,-0.7986713756798399
BuyAndHoldAgent,0,is,5.6303985491358555,257.249486093083,2582494.8609308302,0.0,1.0,2269.0,3.9668001429026094,-0.8339900882218969
BuyAndHoldAgent,0,oos,0.12941403296001713,0.14108476921655838,11410.847692165584,0.0,1.0,956.0,0.6203325945943428,-0.7663456370856908
A,0,is,6.2921208752572895,499.5204435426628,5005204.435426627,1013443.6365957292,165.0,2269.0,4.74860976903738,-0.5239068005297777
A,0,oos,-0.5464578255323584,-0.41951568416485197,5804.84315835148,-4192.7928756547935,79.0,956.0,-0.3102242666540161,-0.7549958361882537
B,0,is,6.322501807338651,514.9600686972914,5159600.686972914,4116781.079398835,89.0,2269.0,4.947621439849852,-0.397559320988151
B,0,oos,-0.15407963349792872,-0.1405944112218118,8594.055887781882,-4234.047780760623,77.0,956.0,0.15513628642033722,-0.6627516287037432
C,0,is,6.876526051122002,896.8954355352912,8978954.355352912,9692235.913260821,337.0,2269.0,5.215427808749884,-0.6040720359257582
C,0,oos,0.39613106777838075,0.4860640799055442,14860.640799055442,4860.640799055442,146.0,956.0,0.8989410202496902,-0.5944655423882045
D,0,is,5.352313893329554,194.55495941247798,1955549.5941247798,2103074.947415114,497.0,2269.0,4.603035730535682,-0.5909477581384516
D,0,oos,-1.1767977207207718,-0.6909438773170757,3090.561226829242,-6879.799168813162,215.0,956.0,-1.121462334651115,-0.789677836662695
RandomAgent,1,is,2.8788613944056753,15.483979392242347,164839.79392242347,175238.51863806648,735.0,2269.0,2.877176865631593,-0.6343701427927346
RandomAgent,1,oos,0.25547356026733103,0.291072876945212,12910.72876945212,2910.72876945212,316.0,956.0,0.716079519060585,-0.6772696736644149
BuyAndHoldAgent,1,is,5.6303985491358555,257.249486093083,2582494.8609308302,0.0,1.0,2269.0,3.9668001429026094,-0.8339900882218969
BuyAndHoldAgent,1,oos,0.12941403296001713,0.14108476921655838,11410.847692165584,0.0,1.0,956.0,0.6203325945943428,-0.7663456370856908
A,1,is,6.613313063661228,689.1028417945577,6901028.417945576,1316746.9747641876,57.0,2269.0,4.61267485679988,-0.7558798195427188
A,1,oos,0.7072040130522751,1.0335221564040218,20335.221564040217,2100.4378843086015,35.0,956.0,1.2338766099832095,-0.6655258869059936
B,1,is,5.022450294311502,139.60827931135313,1406082.7931135313,928192.5093812052,151.0,2269.0,3.9348497120703443,-0.7761058033245058
B,1,oos,0.19013370252436554,0.21251780890288244,12125.178089028826,2106.2191010032875,65.0,956.0,0.6180633276172662,-0.4733645634499479
C,1,is,7.6047092550194,1858.8234148028284,18598234.148028284,16071775.222348383,165.0,2269.0,5.418399091960349,-0.5892893858417086
C,1,oos,0.2877271135725826,0.3368183734073651,13368.183734073651,-4694.263271481845,93.0,956.0,0.7650448383234699,-0.6486772738569829
D,1,is,5.891074628181381,334.1580451310971,3351580.4513109713,3332544.032010026,581.0,2269.0,4.511713018861608,-0.6100780822335166
