ticker,window,direct_agent,latent_agent,delta_sharpe,delta_mdd,delta_seed_std,delta_is_oos_gap,delta_sharpe_norm,delta_mdd_norm,delta_seed_std_norm,delta_is_oos_gap_norm,ivl,interpretation,direct_sharpe_oos,direct_sharpe_is,direct_return_oos,latent_sharpe_oos,latent_sharpe_is,latent_return_oos
SPY,-1.0,A,B,-0.05528553334504527,-0.04574810839683979,0.14680328189950803,-0.18789511420071525,-0.18570417060713823,-0.7284666133734479,0.8167311143296988,-0.42783914660674505,0.03934180008627283,latent_advantage,0.6207790639072964,1.9904141933108008,0.1467987324052717,0.5654935305622512,1.7472335457650405,0.14170074774135646
SPY,-1.0,A,C,0.10129239067911222,-0.025799477744441912,0.35709378087187355,-0.27922890418393465,0.34024125773518576,-0.41081607170003787,1.9866694926570843,-0.6358071447582985,-0.04838401144743271,direct_advantage,0.6207790639072964,1.9904141933108008,0.1467987324052717,0.7220714545864086,1.8124776798059785,0.12339716535983407
SPY,-1.0,A,D,-0.15954213760441255,0.009686503942936242,0.29305723699953057,0.09324217635261012,-0.5359022251952753,0.1542423276068558,1.630406082480172,0.21231341393923525,-0.5946702600039419,direct_advantage,0.6207790639072964,1.9904141933108008,0.1467987324052717,0.4612369263028839,1.9241142320589986,0.11168567965141044
TSLA,-1.0,A,B,0.23965964310045829,0.016550315745599398,-0.08372022670968593,-0.7227183334200578,0.8050170190491978,0.2635377261257621,-0.46577238034326224,-1.6456372286358762,0.6381534469316064,latent_advantage,0.37734287959031254,3.5514764407595103,-0.016544095959231116,0.6170025226907708,3.068417750439911,0.17633801122194162
TSLA,-1.0,A,C,0.3642952698878895,-0.00716060244856076,0.0028392068574953355,-1.2386621869197818,1.223668233937677,-0.11402132237181213,0.01579575436278076,-2.8204467968214293,1.0177194209628697,latent_advantage,0.37734287959031254,3.5514764407595103,-0.016544095959231116,0.7416381494782021,2.677109523727618,0.3290475960488667
TSLA,-1.0,A,D,0.0030154714922835946,-0.0623281541051679,0.06588745149450337,0.15759957874242625,0.010128972238886445,-0.9924777423572437,0.36656082195959444,0.35885589447905664,0.10658123258519095,latent_advantage,0.37734287959031254,3.5514764407595103,-0.016544095959231116,0.38035835108259614,3.71209149099422,-0.04330602093808761
BTC-USD,-1.0,A,B,0.16829449704733523,-0.2007690470823289,-0.06956025255105258,-0.6658472216318714,0.5653014107120263,-3.1969310409429172,-0.3869942268590852,-1.5161411103491464,1.3777153214265847,latent_advantage,0.13932537749923152,5.253420311792513,-0.012754248531709178,0.30761987454656675,4.755867587207977,0.08086739029343323
BTC-USD,-1.0,A,C,0.8498532922870212,-0.09633022273460345,-0.24378901552712007,-0.7394486244975624,2.854658194159416,-1.5339071620682345,-1.3563053341620988,-1.6837322769692555,1.990614680699125,latent_advantage,0.13932537749923152,5.253420311792513,-0.012754248531709178,0.9891786697862528,5.363824979581972,0.5950628876734483
BTC-USD,-1.0,A,D,-0.15273874600548498,-0.05918913262797654,-0.034157320560377014,-0.0412032645099929,-0.513049624926246,-0.9424937665180576,-0.19003217177998893,-0.09382026563253895,0.11282656038783391,latent_advantage,0.13932537749923152,5.253420311792513,-0.012754248531709178,-0.013413368506253475,5.059478301277035,-0.15259333476716513
MEAN,,,B,0.11755620226758275,-0.0766556132445231,-0.002159065787076827,-0.5254868897508814,,,,,0.6850701894814879,mean_across_tickers,,,,,,
STD,,,B,0.15387964516135685,0.11190791641754555,0.12919931109826996,0.29374263570061027,,,,,0.6704191272665447,std_across_tickers,,,,,,
MEAN,,,C,0.43848031761800765,-0.04309676764253537,0.03871465740074961,-0.7524465718670929,,,,,0.9866500300715207,mean_across_tickers,,,,,,
STD,,,C,0.3797544230605502,0.047034056531977696,0.3020435725451375,0.4798486907163411,,,,,1.0198543508421252,std_across_tickers,,,,,,
MEAN,,,D,-0.10308847070587131,-0.037276927596736065,0.10826245597788564,0.06987949686168116,,,,,-0.12508748901030567,mean_across_tickers,,,,,,
STD,,,D,0.0919516527682028,0.040701797140233045,0.16767251540877687,0.10143965553992378,,,,,0.4066825975381623,std_across_tickers,,,,,,
